Node,easting,northing
1,7839.43,7058.66
2,9073.55,5598.36
3,6977.93,3171.86
4,12582.4,6712.38
5,9121.19,3305.24
6,7384.4,1335.04
7,10351.95,3253.48
8,6699.25,-416.24
9,10207.66,2662.01
10,9979.72,2176.88
11,7840.2,-46.94
12,11200.32,2714.78
13,16295.56,6861.19
14,8081.5,-820.06
15,6599.68,-2208.12
16,12005.02,2342.64
17,14051.45,3371.15
18,13143.57,1801.48
19,16557.24,4369.21
20,10648.06,-999.88
21,13711.06,1537.37
22,7510.93,-4722.11
23,19113.13,5701.69
24,11356.26,-1294.74
25,15544.9,2265.46
26,11366.88,-1565.07
27,14466.8,1055.21
28,16842.04,3169.67
29,15013.87,658.34
30,11564.85,-2692.08
31,10629.69,-3620.22
32,13978.66,-868.54
33,16766.04,314.44
34,17797.02,855.19
35,16614.67,-844.54
36,14465.58,-2832.07
37,17039.03,-583.55
38,13271.49,-4539.68
39,18858.78,335.05
40,21639.32,2576.26
41,11751.61,-6559.48
42,15901.78,-2854.94
43,15697.73,-3451.77
44,17442.67,-2352.94
45,15395.68,-4243.15
46,16135.07,-3699.86
47,20077.82,-156.52
48,18597.13,-1590.66
49,18001.15,-2234.93
50,17496.19,-2736.69
51,18274.86,-2038.27
52,19207.06,-1206.99
53,18988.08,-1494.32
54,15526.81,-4618.93
55,19717.75,-1068.77
56,16609.48,-3915.91
57,14176.07,-6478.36
58,13635.92,-7178.66
59,23359.62,1475.67
60,13400.6,-7547.99
61,21349.86,-650.15
62,15843.23,-5620.45
63,19169.59,-2800.32
64,23559.13,1121.09
65,18655.95,-3359.69
66,13939.24,-7754.65
67,19571.65,-2870.25
68,18579.6,-3965.34
69,17537.9,-5075.54
70,18988.56,-3957.74
71,20198.42,-2976.03
72,27390.24,3020.47
73,20059.5,-3654.17
74,17062,-7549.4
75,19238.2,-5828.11
76,18832.74,-6201.26
77,20918.82,-4618.99
78,16804.78,-8390.57
79,31265.52,4465.78
80,22201.9,-3983.12
81,24880.84,-1802.44
82,25454.49,-1394.91
83,16243.47,-9819.08
84,27075.06,-1236.97
85,26887.74,-1825.48
86,31052.25,1882.56
87,31770.54,2347.65
88,30848.75,1485.37
89,27462.15,-2133.15
90,23439.21,-5787.71
91,25014.63,-4451.28
92,25336.76,-4424.97
93,24483.97,-6051.34
94,23546.07,-6977.92
95,20929.36,-9903.22
96,19997.17,-11139.52
97,21542.63,-10118.04
98,8435.85,-1935.44
99,5280.78,-5864.9
100,8347.66,-6441.98
101,10402.98,-11269.73
102,23485.91,-1532.49
103,26769.82,-1684.05
104,14437.39,-15732.46
105,7431.45,6691.31
106,6000,8000
107,16500,8000
108,33000,5000
109,4500,-18000
110,14000,-18000
111,4500,-6000
